median11, ssc_name, ssc2011
36322.25743,"Bateau Bay",10130
26574.95035,"Batehaven",10131
23632.375,"Batemans Bay",10132
35969.81818,"Bellbird Heights",10160
17498.0,"Bellbrook",10161
29414.66667,"Booligal",10289
29748.0,"Boomanoomana",10290
39777.78723,"Bathurst",10133
28259.11111,"Bootawa",10297
21181.33333,"Bora Ridge",10298
44596.27586,"Borambola",10299
24503.55556,"Boree Creek",10300
49548.0,"Borenore",10301
32864.92955,"Bossley Park",10302
31291.44828,"Batlow",10134
51505.19217,"Baulkham Hills",10135
37561.33333,"Baw Baw (NSW)",10136
24868.75472,"Bawley Point",10137
55484.0,"Bayview (NSW)",10138
49612.40678,"Beacon Hill",10139
63262.81481,"Beaconsfield (NSW)",10140
37503.55556,"Beaumont (NSW)",10141
48523.84906,"Botany",10303
58241.18182,"Beaumont Hills",10142
26548.0,"Berrara",10192
27042.73684,"Beckom",10143
27793.16129,"Bedgerebong",10144
31983.71429,"Beechwood",10145
36063.06849,"Berridale",10193
47948.0,"Bowen Mountain",10311
26312.91228,"Smithtown",12089
33285.77778,"Soldiers Point",12090
63532.92823,"Beecroft",10146
0.0,"Beecroft Peninsula",10147
36348.0,"Beelbangera",10148
31812.77273,"Bega",10149
19773.0,"Belbora",10150
28060.5,"Bethungra",10198
38254.66667,"Somersby",12091
32841.02326,"Somerton (NSW)",12092
48964.39344,"Wallalong",12394
59865.89216,"Bella Vista",10154
28529.81818,"Bellambi",10155
20574.66667,"Bellangry",10156
36195.05882,"Bellata",10157
38201.58852,"Belmont North",10165
39814.66667,"Bellawongarah",10158
32188.0,"Bellbird",10159
31148.0,"Belmont South",10166
30652.7619,"South Durras",12098
36348.0,"Wangi Wangi",12407
30911.63636,"Wantabadgery",12408
72257.12863,"Bellevue Hill",10162
30072.13793,"Bellingen",10163
37275.13178,"Belmont (NSW)",10164
41517.9422,"Bensville",10178
24214.66667,"Bentley (NSW)",10179
30308.13746,"Belmore",10167
29336.66667,"Berala",10180
46748.0,"Berambing",10181
45243.86777,"Beverley Park",10199
30962.28571,"Belmore River",10168
53807.58005,"Belrose",10169
24288.42553,"Bemboka",10170
31278.0,"Ben Lomond (NSW)",10171
32371.52941,"Bendalong",10172
25642.11765,"Bendemeer",10173
29631.33333,"Bendick Murrell",10174
29167.04762,"Bendolba",10175
28362.28571,"Benerembah",10176
43004.0,"Beni",10177
52405.03125,"Nakara",70138
36038.47619,"Berkshire Park",10186
22792.13793,"Bermagui",10187
54817.14063,"Berowra",10188
41894.66667,"Berowra Creek",10189
49946.62543,"Berowra Heights",10190
33852.0,"Berrambool",10191
28348.0,"Bridgewater On Loddon",20179
29414.66667,"Berrigan",10194
51514.66667,"Berrilee",10195
42006.82353,"Berrima",10196
38202.77707,"Berry",10197
39344.31491,"Beverly Hills",10200
35583.29412,"Bexhill",10201
36258.34483,"Bilbul",10211
55592.85981,"Bilgola",10212
39276.44336,"Bexley",10202
33028.0,"Birmingham Gardens",10226
40553.32688,"Chelsea Heights",20282
39347.17012,"Bexley North",10203
25019.42857,"Bibbenluke",10204
25428.0,"Biddon",10205
20591.26241,"Bidwill (NSW)",10206
39495.36842,"Big Springs",10207
25790.42424,"Bigga",10208
29611.63636,"Bilambil",10209
35695.60148,"Bilambil Heights",10210
26598.0,"Billinudgel",10213
37782.48276,"Billywillinga",10214
37896.93617,"Bilpin",10215
35587.02439,"Binalong",10216
26468.0,"Binda",10217
23425.22772,"Bingara",10218
35357.52381,"Bingie",10219
33748.0,"Biniguy",10220
41919.42857,"Binjura",10221
24766.18182,"Binna Burra (NSW)",10222
19651.125,"Binnaway",10223
31440.13483,"Birrong",10227
42703.55556,"Myrniong",20968
34313.21739,"Binya",10224
33098.0,"Black Head",10230
85790.97521,"Birchgrove",10225
30202.54545,"Orroroo",40529
40508.0,"Bishops Bridge",10228
33748.0,"Bithramere",10229
48928.64516,"Blaxland (NSW)",10246
45014.66667,"Blaxlands Ridge",10247
49538.2439,"Black Hill (NSW)",10231
36653.88235,"Black Mountain (NSW)",10232
30377.62963,"Black Springs (NSW)",10233
33398.2924,"Blackalls Park",10234
35981.80282,"Blayney",10248
43628.0,"Bligh Park",10249
26598.0,"Blighty",10250
13456.69565,"Nyirripi",70151
38422.87685,"Blackbutt (NSW)",10235
27385.18593,"Blackett",10236
34452.16667,"Blackheath (NSW)",10237
27898.0,"Blackmans Point",10238
33697.01961,"Blacksmiths",10239
35700.81038,"Blacktown",10240
38554.06061,"Blairmount",10243
51087.07285,"Blakehurst",10244
37782.48276,"Blandford",10245
33337.47368,"Blackwall (NSW)",10241
46996.80383,"Blair Athol (NSW)",10242
33321.13433,"Queenstown (SA)",40609
34954.30631,"Blue Haven",10252
20603.55556,"Blue Knob",10253
31148.0,"Blue Mountains National Park",10254
39664.53543,"Boambee",10255
24449.69492,"Bodalla",10259
22828.0,"Bogan Gate",10260
29148.0,"Tooleybuc",12291
35358.57082,"Boambee East",10256
24191.24324,"Canton Beach",10457
33038.90909,"Canyonleigh",10458
38470.44898,"Boat Harbour (Port Stephens - NSW)",10257
33160.90323,"Bobs Farm",10258
27148.0,"Bream Beach",10330
34068.85106,"Bogangar",10261
19975.72277,"Boggabilla",10262
28637.65517,"Boggabri",10263
27738.72848,"Bolton Point",10264
46903.22388,"Bolwarra (NSW)",10265
30108.0,"Bombo",10270
53848.0,"Bolwarra Heights",10266
30573.83333,"Bomaderry",10267
41311.63636,"Bredbo",10331
22996.64865,"Brewarrina",10332
44148.0,"Brewongle",10333
29848.0,"Bribbaree",10334
40573.0,"Bridgman",10335
29302.83871,"Brierfield",10336
32649.03093,"Bombala",10268
39148.0,"Bombira",10269
27741.10345,"Capertee",10459
42799.85185,"Captains Flat",10460
26598.0,"Caragabal",10461
39040.85714,"Carcoar",10462
35438.0,"Tooma",12292
45708.0,"Bombowlee",10271
24305.89474,"Tucabia",12310
35124.47059,"Tucki Tucki",12311
32138.47619,"Tuckombil",12312
21053.88235,"Tuena",12313
35281.33333,"Tuggerah",12314
60597.84472,"Bondi",10275
63824.24378,"Bondi Beach",10276
35048.0,"Tumbulgum",12323
34206.09524,"Tumut",12324
24739.79954,"Tuncurry",12325
31920.27723,"Tura Beach",12326
58688.74074,"Bondi Junction",10277
33683.0,"Booker Bay",10285
35976.57143,"Bookham",10286
25475.27273,"Boolambayte",10287
32014.66667,"Turlinjah",12327
27173.28736,"Tuross Head",12328
31668.0,"Quorn",40610
37214.66667,"Bonnells Bay",10278
60495.24409,"Bonnet Bay",10279
32950.66667,"Bonny Hills",10280
23774.22951,"Bonnyrigg",10281
28637.65517,"Boomerang Beach",10291
29745.75281,"Booragul",10292
29588.0,"Booral (NSW)",10293
36074.31579,"Boorolong",10294
35048.0,"Boorooma",10295
33005.14286,"Boorowa",10296
0.0,"Botany Bay",10304
0.0,"Bouddi",10305
39760.5,"Bourke",10306
49544.9697,"Bourkelands",10307
20705.72358,"Bowenfels",10312
22828.0,"Bowman",10313
39487.62264,"Bowning",10314
39814.66667,"Bournda",10308
42319.875,"Bow Bowing",10309
52151.125,"Bowan Park",10310
39584.61327,"Bowral",10315
21940.66055,"Bowraville",10316
0.0,"Box Head",10317
41607.09091,"Box Hill (NSW)",10318
29414.66667,"Boydtown",10319
25822.6988,"Bray Park (NSW)",10326
40348.0,"Breadalbane (NSW)",10327
24513.51724,"Breakfast Creek",10328
38223.94937,"Bradbury (NSW)",10320
37293.45455,"Braemar",10321
33343.55556,"Braidwood",10322
44928.0,"Brandy Hill",10323
43330.85714,"Branxton",10324
26893.45455,"Braunstone",10325
69267.35484,"Breakfast Point",10329
41721.33333,"Brighton-le-Sands",10337
38461.82114,"Broadmeadow",10341
37855.24638,"Brightwaters",10338
30968.68966,"Broadwater (Richmond Valley - NSW)",10342
36653.88235,"Broadway",10343
36348.0,"Brocklehurst",10344
31876.50242,"North Wonthaggi",21034
37961.7931,"Bringelly",10339
47060.0,"Brooklyn (NSW)",10354
44620.72727,"Brisbane Grove",10340
31922.46809,"Bundanoon (NSW)",10380
23123.30864,"Bundarra",10381
39236.88889,"Gherang",20525
34325.77778,"Gheringhap",20526
25659.11111,"Brocklesby",10345
24431.33333,"Brogo",10346
39681.33333,"Broke (NSW)",10347
26865.64706,"Broken Head",10348
30668.06421,"Broken Hill",10349
69242.93671,"Bronte",10350
38428.0,"Brookdale (NSW)",10351
38081.33333,"Brookfield (NSW)",10352
30157.52381,"Brooklet",10353
47712.04494,"Brookvale",10355
21723.0,"Brooms Head",10356
44416.96552,"Broughton Vale",10357
36470.35294,"Broulee",10358
40830.75862,"Brownlow Hill",10359
23636.88889,"Bungwahl",10389
32881.33333,"Bunnan",10390
42748.0,"Bunyan",10391
29414.66667,"Brownsville",10360
35233.71429,"Bruah",10361
38168.0,"Brungle",10362
28085.77778,"Brunswick Heads",10363
30823.0,"Brushgrove",10364
30570.22222,"Girgarre",20527
34119.42857,"Bucca (NSW)",10365
37090.85714,"Buckajo",10366
36683.48387,"Budgee Budgee (NSW)",10367
55592.85981,"Aberfeldie",20002
30641.22034,"Budgewoi",10368
15948.0,"Burnt Bridge",10392
28075.27273,"Acheron",20003
0.0,"Budgewoi Peninsula",10369
38774.66667,"Burrawang",10401
31148.0,"Burrell Creek",10402
33376.57143,"Burren Junction",10403
32536.34951,"Buff Point",10370
22828.0,"Bugaldie",10371
24365.3913,"Bukkulla",10372
27814.66667,"Bulahdelah",10373
43548.0,"Bulga (NSW)",10374
38526.37838,"Bullaburra",10375
46766.77256,"Bulli",10376
23636.88889,"Bundabah",10377
27042.73684,"Bundaburrah",10378
18502.54545,"Bundagen",10379
44223.72816,"Bundeena",10382
24418.58824,"Bundook",10383
31841.33333,"Bungarby",10384
61925.85978,"Bungendore",10385
26814.66667,"Bunglegumbie",10386
34313.21739,"Bungonia",10387
44748.0,"Bungowannah",10388
37148.0,"Buronga",10393
64202.09836,"Burra (Palerang - NSW)",10394
43670.44898,"Buttaba",10412
41132.0,"Burrabadine",10395
39791.24324,"Buxton (NSW)",10413
32553.40541,"Byabarra",10414
25452.7619,"Byangum",10415
29742.03579,"Byron Bay",10416
23781.33333,"Byrrill Creek",10417
69872.24242,"Bywong",10418
46588.81633,"Burradoo",10396
28176.57143,"Burraga",10397
0.0,"Burragate",10398
64045.22222,"Burraneer",10399
