median_aud_2014_15, sa3_name16, sa3_code_2016
37846,"Murray River - Swan Hill","21503"
40088,"Campaspe","21601"
38328,"Moira","21602"
41068,"Shepparton","21603"
40083,"Glenelg - Southern Grampians","21701"
39071,"Colac - Corangamite","21703"
41610,"Warrnambool","21704"
49189,"Capalaba","30101"
47392,"Cleveland - Stradbroke","30102"
52820,"Wynnum - Manly","30103"
52075,"Bald Hills - Everton Park","30201"
52189,"Chermside","30202"
52000,"Nundah","30203"
49981,"Sandgate","30204"
54307,"Carindale","30301"
52886,"Holland Park - Yeronga","30302"
45391,"Mt Gravatt","30303"
47895,"Nathan","30304"
45919,"Rocklea - Acacia Ridge","30305"
43689,"Mudgeeraba - Tallebudgera","30905"
43186,"Nerang","30906"
46793,"Ormeau - Oxenford","30907"
42100,"Outback - South","31503"
42001,"Buderim","31601"
41413,"Caloundra","31602"
40700,"Maroochy","31603"
37832,"Noosa","31605"
38226,"Sunshine Coast Hinterland","31606"
40384,"Nambour","31607"
36490,"Noosa Hinterland","31608"
42806,"Charters Towers - Ayr - Ingham","31801"
51542,"Townsville","31802"
38758,"Bundaberg","31901"
33962,"Burnett","31902"
35558,"Gympie - Cooloola","31903"
37536,"Hervey Bay","31904"
37265,"Sunnybank","30306"
52098,"Centenary","30401"
55086,"Kenmore - Brookfield - Moggill","30402"
51867,"Sherwood - Indooroopilly","30403"
54145,"The Gap - Enoggera","30404"
48553,"Brisbane Inner","30501"
60085,"Brisbane Inner - East","30502"
57995,"Brisbane Inner - North","30503"
57322,"Brisbane Inner - West","30504"
48335,"Cairns - North","30601"
43715,"Cairns - South","30602"
37597,"Innisfail - Cassowary Coast","30603"
37110,"Port Douglas - Daintree","30604"
36342,"Tablelands (East) - Kuranda","30605"
41812,"Darling Downs (West) - Maranoa","30701"
41449,"Darling Downs - East","30702"
34737,"Granite Belt","30703"
55363,"Central Highlands (Qld)","30801"
49483,"Rockhampton","30803"
47559,"Biloela","30804"
63950,"Gladstone","30805"
43085,"Broadbeach - Burleigh","30901"
41876,"Coolangatta","30902"
41561,"Gold Coast - North","30903"
41036,"Gold Coast Hinterland","30904"
41993,"Robina","30908"
39789,"Southport","30909"
38436,"Surfers Paradise","30910"
45350,"Forest Lake - Oxley","31001"
41774,"Ipswich Hinterland","31002"
47841,"Ipswich Inner","31003"
48968,"Springfield - Redbank","31004"
40324,"Beaudesert","31101"
44332,"Beenleigh","31102"
45394,"Browns Plains","31103"
48944,"Jimboomba","31104"
46863,"Loganlea - Carbrook","31105"
44569,"Springwood - Kingston","31106"
52440,"Bowen Basin - North","31201"
53229,"Mackay","31202"
42433,"Whitsunday","31203"
37134,"Bribie - Beachmere","31301"
41391,"Caboolture","31302"
39960,"Caboolture Hinterland","31303"
45979,"Narangba - Burpengary","31304"
44958,"Redcliffe","31305"
53707,"The Hills District","31401"
50208,"North Lakes","31402"
46803,"Strathpine","31403"
40311,"Far North","31501"
59223,"Outback - North","31502"
45425,"Toowoomba","31701"
37992,"Maryborough","31905"
49503,"Adelaide City","40101"
47523,"Adelaide Hills","40102"
50383,"Norwood - Payneham - St Peters","40105"
53107,"Prospect - Walkerville","40106"
45852,"West Torrens","40403"
44771,"Barossa","40501"
41616,"Lower North","40502"
54713,"Unley","40107"
46583,"Gawler - Two Wells","40201"
43058,"Playford","40202"
44706,"Port Adelaide - East","40203"
44237,"Salisbury","40204"
47593,"Tea Tree Gully","40205"
50085,"Mitcham","40303"
44381,"Onkaparinga","40304"
46689,"Charles Sturt","40401"
45876,"Port Adelaide - West","40402"
42711,"Mid North","40503"
38724,"Yorke Peninsula","40504"
46801,"Eyre Peninsula and South West","40601"
52070,"Outback - North and East","40602"
35017,"Fleurieu - Kangaroo Island","40701"
42056,"Limestone Coast","40702"
37620,"Murray and Mallee","40703"
41447,"Augusta - Margaret River - Busselton","50101"
50775,"Bunbury","50102"
39250,"Manjimup","50103"
48157,"Mandurah","50201"
66634,"Cottesloe - Claremont","50301"
59452,"Perth City","50302"
52597,"Bayswater - Bassendean","50401"
51869,"Mundaring","50402"
54189,"Burnside","40103"
45057,"Campbelltown (SA)","40104"
53091,"Swan","50403"
54567,"Joondalup","50501"
54208,"Stirling","50502"
51880,"Wanneroo","50503"
52834,"Armadale","50601"
53233,"Belmont - Victoria Park","50602"
47370,"Canning","50603"
49950,"Gosnells","50604"
54114,"Kalamunda","50605"
55757,"Serpentine - Jarrahdale","50606"
58608,"South Perth","50607"
55778,"Cockburn","50701"
55976,"Fremantle","50702"
53945,"Kwinana","50703"
54224,"Melville","50704"
55604,"Rockingham","50705"
41895,"Albany","50901"
47955,"Wheat Belt - North","50902"
52827,"Wheat Belt - South","50903"
52976,"Kimberley","51001"
84178,"East Pilbara","51002"
87933,"West Pilbara","51003"
46419,"Esperance","51101"
45735,"Gascoyne","51102"
65315,"Goldfields","51103"
49216,"Mid West","51104"
43903,"Brighton","60101"
46320,"Hobart - North East","60102"
43297,"Hobart - North West","60103"
46919,"Hobart - South and West","60104"
47857,"Hobart Inner","60105"
42764,"Sorell - Dodges Ferry","60106"
43748,"Launceston","60201"
38538,"Meander Valley - West Tamar","60202"
39443,"North East","60203"
39244,"Central Highlands (Tas.)","60301"
37174,"Huon - Bruny Island","60302"
32072,"South East Coast","60303"
46721,"Marion","40302"
42374,"Burnie - Ulverstone","60401"
40717,"Devonport","60402"
42915,"West Coast","60403"
50593,"Holdfast Bay","40301"
58213,"Darwin City","70101"
59066,"Darwin Suburbs","70102"
61533,"Litchfield","70103"
64419,"Palmerston","70104"
51889,"Alice Springs","70201"
49615,"Barkly","70202"
44170,"Daly - Tiwi - West Arnhem","70203"
61392,"East Arnhem","70204"
52586,"Katherine","70205"
57351,"Belconnen","80101"
47820,"Canberra East","80103"
62593,"Gungahlin","80104"
62546,"North Canberra","80105"
75172,"South Canberra","80106"
59803,"Tuggeranong","80107"
61715,"Weston Creek","80108"
62483,"Woden Valley","80109"
74351,"Molonglo","80110"
55657,"Urriarra - Namadgi","80111"
78399,"Christmas Island","90101"
52432,"Cocos (Keeling) Islands","90102"
45767,"Jervis Bay","90103"
